borvidek,variety,n_members,mean,p10,p50,p90,std
Bükki,Cabernet sauvignon,14,0.5123376,0.38011364042758944,0.5181818008422852,0.6507954299449921,0.12626337
Bükki,Carignan,14,0.0,0.0,0.0,0.0,0.0
Bükki,Chardonnay,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Cirfandli,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Cserszegi fűszeres,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Ezerjó,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Fiano,14,0.5579058,0.4783362984657288,0.5699140131473541,0.6335213124752045,0.10613282
Bükki,Furmint,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Garnacha,14,0.0,0.0,0.0,0.0,0.0
Bükki,Generosa,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Hárslevelű,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Irsai Olivér,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Johanniter,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Juhfark,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Kabar,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Kadarka,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Királyleányka,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Kékfrankos,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Kéknyelű,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Kövérszőlő,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Leányka,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Merlot,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Bükki,Muscaris,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Muscat ottonel,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Müller-Thurgau,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Bükki,Olaszrizling,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Pinot blanc,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Pinot noir,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Portugieser,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Rajnai rizling,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Rizlingszilváni,14,0.99841267,1.0,1.0,1.0,0.0059391386
Bükki,Sangiovese,14,0.69987243,0.6200892627239227,0.7285714149475098,0.75,0.06993095
Bükki,Sauvignon blanc,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Solaris,14,1.0,1.0,1.0,1.0,0.0
Bükki,Souvignier Gris,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
