borvidek,horizon_label,period,scenario,emissions_level,rank,variety,variety_en,colour,future_suitability,delta_vs_1991_2020,confidence,limiting_factor,status,huglin_mean,winkler_mean
Mátrai,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Kadarka,Kadarka,red,1.0,0.691,medium,huglin,new,2117.0,1599.0
Mátrai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.982,medium,huglin,new,2343.0,1781.0
Mátrai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.982,medium,huglin,new,2343.0,1781.0
Mátrai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.768,high,huglin,new,2343.0,1781.0
Mátrai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.768,high,huglin,new,2343.0,1781.0
Mátrai,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Garnacha,Grenache,red,1.0,1.0,medium,huglin,new,2514.0,1992.0
Mátrai,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2514.0,1992.0
Mátrai,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2514.0,1992.0
Mátrai,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Assyrtiko,Assyrtiko,white,1.0,0.988,medium,huglin,new,2514.0,1992.0
Mátrai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,1.0,0.982,medium,huglin,new,2405.0,1823.0
Mátrai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.982,medium,huglin,new,2405.0,1823.0
Mátrai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.768,high,huglin,new,2405.0,1823.0
Mátrai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.768,high,huglin,new,2405.0,1823.0
Mátrai,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Garnacha,Grenache,red,0.989,0.989,medium,heat,new,2738.0,2208.0
